open,high,low,close,volume,amount,position,bob,eob
3213.033,3231.406,3206.103,3231.406,31415550100,413341768412.7,0,2023-06-09 00:00:00+08:00,2023-06-09 00:00:00+08:00
3225.305,3239.437,3210.713,3228.833,31378444400,403241619623.4,0,2023-06-12 00:00:00+08:00,2023-06-12 00:00:00+08:00
3223.896,3235.085,3215.499,3233.673,28062845400,377193491389.4,0,2023-06-13 00:00:00+08:00,2023-06-13 00:00:00+08:00
3238.119,3248.461,3226.774,3228.989,30353726000,404009517761.0,0,2023-06-14 00:00:00+08:00,2023-06-14 00:00:00+08:00
3230.451,3252.975,3229.145,3252.975,31325575200,437522981548.2,0,2023-06-15 00:00:00+08:00,2023-06-15 00:00:00+08:00
3256.299,3276.552,3255.499,3273.334,32628184600,444375632395.7,0,2023-06-16 00:00:00+08:00,2023-06-16 00:00:00+08:00
3271.164,3271.164,3251.779,3255.806,32775304700,455226178218.8,0,2023-06-19 00:00:00+08:00,2023-06-19 00:00:00+08:00
3252.543,3252.844,3237.786,3240.365,29826059600,433243981459.9,0,2023-06-20 00:00:00+08:00,2023-06-20 00:00:00+08:00
3230.114,3236.363,3197.901,3197.901,29437737200,406234561359.8,0,2023-06-21 00:00:00+08:00,2023-06-21 00:00:00+08:00
3177.229,3181.076,3144.248,3150.619,30812981100,398859657407.8,0,2023-06-26 00:00:00+08:00,2023-06-26 00:00:00+08:00
3153.313,3194.409,3148.266,3189.443,28760432700,354487810600.0,0,2023-06-27 00:00:00+08:00,2023-06-27 00:00:00+08:00
3183.487,3192.659,3157.123,3189.376,27623194800,360118192478.4,0,2023-06-28 00:00:00+08:00,2023-06-28 00:00:00+08:00
3185.424,3196.502,3179.525,3182.381,25034007400,340636710911.3,0,2023-06-29 00:00:00+08:00,2023-06-29 00:00:00+08:00
3178.924,3212.993,3177.991,3202.062,26537987300,359739563354.1,0,2023-06-30 00:00:00+08:00,2023-06-30 00:00:00+08:00
3209.162,3246.861,3209.162,3243.975,31237139500,421353472356.4,0,2023-07-03 00:00:00+08:00,2023-07-03 00:00:00+08:00
3241.23,3246.958,3233.99,3245.349,27924872100,387115944059.6,0,2023-07-04 00:00:00+08:00,2023-07-04 00:00:00+08:00
3240.049,3241.835,3218.602,3222.947,26401642600,351234984740.6,0,2023-07-05 00:00:00+08:00,2023-07-05 00:00:00+08:00
3215.863,3229.48,3199.716,3205.575,24611903200,320808312589.1,0,2023-07-06 00:00:00+08:00,2023-07-06 00:00:00+08:00
3197.472,3212.047,3189.211,3196.609,25568846900,313607453159.0,0,2023-07-07 00:00:00+08:00,2023-07-07 00:00:00+08:00
3208.735,3216.535,3192.658,3203.696,23656036700,311462495601.4,0,2023-07-10 00:00:00+08:00,2023-07-10 00:00:00+08:00
3211.122,3221.68,3200.385,3221.367,22760046700,309950254679.6,0,2023-07-11 00:00:00+08:00,2023-07-11 00:00:00+08:00
3220.376,3224.331,3193.437,3196.134,27142338600,365433182293.6,0,2023-07-12 00:00:00+08:00,2023-07-12 00:00:00+08:00
3202.699,3238.468,3202.699,3236.48,27662050800,373242517824.7,0,2023-07-13 00:00:00+08:00,2023-07-13 00:00:00+08:00
3240.969,3248.385,3233.999,3237.701,27332749400,368337829107.5,0,2023-07-14 00:00:00+08:00,2023-07-14 00:00:00+08:00
3219.016,3219.016,3195.886,3209.63,25020837600,322074497062.9,0,2023-07-17 00:00:00+08:00,2023-07-17 00:00:00+08:00
3206.786,3210.248,3190.005,3197.82,23503025900,307331649309.9,0,2023-07-18 00:00:00+08:00,2023-07-18 00:00:00+08:00
3195.009,3204.361,3181.561,3198.836,21735586000,281206091159.0,0,2023-07-19 00:00:00+08:00,2023-07-19 00:00:00+08:00
3201.911,3209.055,3165.674,3169.522,23893289100,302376024110.2,0,2023-07-20 00:00:00+08:00,2023-07-20 00:00:00+08:00
3163.421,3185.636,3157.333,3167.745,22533136300,280673190404.2,0,2023-07-21 00:00:00+08:00,2023-07-21 00:00:00+08:00
3157.469,3178.733,3151.125,3164.161,21659521100,260119088909.0,0,2023-07-24 00:00:00+08:00,2023-07-24 00:00:00+08:00
3201.458,3231.749,3201.458,3231.521,34861771400,410846601110.5,0,2023-07-25 00:00:00+08:00,2023-07-25 00:00:00+08:00
3228.087,3229.892,3212.88,3223.028,31720605100,328306929373.1,0,2023-07-26 00:00:00+08:00,2023-07-26 00:00:00+08:00
3225.476,3245.603,3210.47,3216.671,32711886700,332145068267.5,0,2023-07-27 00:00:00+08:00,2023-07-27 00:00:00+08:00
3206.741,3280.278,3200.994,3275.926,41106843400,436923617408.4,0,2023-07-28 00:00:00+08:00,2023-07-28 00:00:00+08:00
3287.209,3322.129,3281.013,3291.04,45903099400,511505348417.9,0,2023-07-31 00:00:00+08:00,2023-07-31 00:00:00+08:00
3288.76,3305.34,3279.566,3290.949,45989083300,441023318588.5,0,2023-08-01 00:00:00+08:00,2023-08-01 00:00:00+08:00
3281.858,3290.82,3252.304,3261.69,40534149900,388952703973.5,0,2023-08-02 00:00:00+08:00,2023-08-02 00:00:00+08:00
3254.565,3280.864,3247.272,3280.463,38469131700,389530671967.1,0,2023-08-03 00:00:00+08:00,2023-08-03 00:00:00+08:00
3296.094,3315.049,3281.734,3288.084,47092769700,497188089389.3,0,2023-08-04 00:00:00+08:00,2023-08-04 00:00:00+08:00
3276.776,3276.776,3258.537,3268.831,36034148400,393056934181.5,0,2023-08-07 00:00:00+08:00,2023-08-07 00:00:00+08:00
3260.722,3274.519,3246.675,3260.62,31652073300,355750325340.5,0,2023-08-08 00:00:00+08:00,2023-08-08 00:00:00+08:00
3251.152,3257.082,3240.289,3244.487,27121853800,309778299573.6,0,2023-08-09 00:00:00+08:00,2023-08-09 00:00:00+08:00
3242.206,3257.03,3234.116,3254.56,28741214200,307263291733.2,0,2023-08-10 00:00:00+08:00,2023-08-10 00:00:00+08:00
3254.475,3254.475,3189.248,3189.248,33013775000,339187129840.7,0,2023-08-11 00:00:00+08:00,2023-08-11 00:00:00+08:00
3159.714,3180.507,3141.655,3178.427,29984032700,322632054396.5,0,2023-08-14 00:00:00+08:00,2023-08-14 00:00:00+08:00
3180.558,3186.234,3147.346,3176.176,27325192200,300827985375.0,0,2023-08-15 00:00:00+08:00,2023-08-15 00:00:00+08:00
3164.702,3176.626,3149.723,3150.128,28172829200,303611332638.4,0,2023-08-16 00:00:00+08:00,2023-08-16 00:00:00+08:00
3137.351,3167.446,3123.25,3163.739,29469258600,320785474107.6,0,2023-08-17 00:00:00+08:00,2023-08-17 00:00:00+08:00
3165.1,3179.116,3131.953,3131.953,29439035200,320449006936.7,0,2023-08-18 00:00:00+08:00,2023-08-18 00:00:00+08:00
