order_id,update_type,status,latency_ms
concurrent_client_2_order_8,TRADE,FILLED,35.765886306762695
concurrent_client_2_order_8,FILLED,FILLED,35.797834396362305
concurrent_client_2_order_9,NEW,NEW,23.416757583618164
concurrent_client_2_order_9,TRADE,FILLED,23.448944091796875
concurrent_client_2_order_9,FILLED,FILLED,23.562908172607422
concurrent_client_3_order_0,NEW,NEW,125.06294250488281
concurrent_client_3_order_0,TRADE,FILLED,125.1070499420166
concurrent_client_3_order_0,FILLED,FILLED,125.14686584472656
concurrent_client_3_order_1,NEW,NEW,114.08305168151855
concurrent_client_3_order_1,TRADE,FILLED,114.11309242248535
concurrent_client_3_order_1,FILLED,FILLED,114.14289474487305
concurrent_client_3_order_2,NEW,NEW,103.0118465423584
concurrent_client_3_order_2,TRADE,FILLED,103.05595397949219
concurrent_client_3_order_2,FILLED,FILLED,103.08694839477539
concurrent_client_3_order_3,NEW,NEW,92.08512306213379
concurrent_client_3_order_3,TRADE,FILLED,92.1173095703125
concurrent_client_3_order_3,FILLED,FILLED,92.14901924133301
concurrent_client_3_order_4,NEW,NEW,81.11715316772461
concurrent_client_3_order_4,TRADE,FILLED,81.1471939086914
concurrent_client_3_order_4,FILLED,FILLED,81.1769962310791
concurrent_client_3_order_5,NEW,NEW,70.14298439025879
concurrent_client_3_order_5,TRADE,FILLED,70.17397880554199
concurrent_client_3_order_5,FILLED,FILLED,70.20401954650879
concurrent_client_3_order_6,NEW,NEW,59.19313430786133
concurrent_client_3_order_6,TRADE,FILLED,59.22198295593262
concurrent_client_3_order_6,FILLED,FILLED,59.248924255371094
concurrent_client_3_order_7,NEW,NEW,47.78313636779785
concurrent_client_3_order_7,TRADE,FILLED,47.80888557434082
concurrent_client_3_order_7,FILLED,FILLED,47.837018966674805
concurrent_client_3_order_8,NEW,NEW,36.763906478881836
concurrent_client_3_order_8,TRADE,FILLED,36.79084777832031
concurrent_client_3_order_8,FILLED,FILLED,36.81802749633789
concurrent_client_3_order_9,NEW,NEW,24.48105812072754
concurrent_client_3_order_9,TRADE,FILLED,24.52397346496582
concurrent_client_3_order_9,FILLED,FILLED,24.559974670410156
concurrent_client_4_order_0,NEW,NEW,126.08909606933594
concurrent_client_4_order_0,TRADE,FILLED,126.11937522888184
concurrent_client_4_order_0,FILLED,FILLED,126.15704536437988
concurrent_client_4_order_1,NEW,NEW,115.07487297058105
concurrent_client_4_order_1,TRADE,FILLED,115.10300636291504
concurrent_client_4_order_1,FILLED,FILLED,115.13185501098633
concurrent_client_4_order_2,NEW,NEW,104.00199890136719
concurrent_client_4_order_2,TRADE,FILLED,104.03203964233398
concurrent_client_4_order_2,FILLED,FILLED,104.08592224121094
concurrent_client_4_order_3,NEW,NEW,93.07599067687988
concurrent_client_4_order_3,TRADE,FILLED,93.10388565063477
concurrent_client_4_order_3,FILLED,FILLED,93.13082695007324
concurrent_client_4_order_4,NEW,NEW,82.09586143493652
concurrent_client_4_order_4,TRADE,FILLED,82.1220874786377
concurrent_client_4_order_4,FILLED,FILLED,82.16309547424316
