price,last_volume,created_at
3377.337,8431600,2025-05-13 10:23:15.038000+08:00
3377.795,6589800,2025-05-13 10:23:18.038000+08:00
3377.718,6549300,2025-05-13 10:23:21.038000+08:00
3377.667,6000500,2025-05-13 10:23:24.065000+08:00
3378.13,5734400,2025-05-13 10:23:27.038000+08:00
3378.256,6857300,2025-05-13 10:23:30.061000+08:00
3377.793,7033000,2025-05-13 10:23:33.038000+08:00
3377.877,6280800,2025-05-13 10:23:36.038000+08:00
3378.091,6948600,2025-05-13 10:23:39.038000+08:00
3378.091,0,2025-05-13 10:23:41.092000+08:00
3378.02,7653000,2025-05-13 10:23:42.038000+08:00
3378.021,6745700,2025-05-13 10:23:45.038000+08:00
3377.992,5513900,2025-05-13 10:23:48.038000+08:00
3377.566,6993500,2025-05-13 10:23:51.038000+08:00
3377.729,5376700,2025-05-13 10:23:54.042000+08:00
3377.992,6646900,2025-05-13 10:23:57.038000+08:00
3377.962,6046800,2025-05-13 10:24:00.066000+08:00
3378.215,7799500,2025-05-13 10:24:03.038000+08:00
3378.349,9791700,2025-05-13 10:24:06.038000+08:00
3378.35,13439500,2025-05-13 10:24:09.038000+08:00
3378.35,0,2025-05-13 10:24:11.091000+08:00
3378.254,8443400,2025-05-13 10:24:12.038000+08:00
3378.21,7283600,2025-05-13 10:24:15.038000+08:00
3377.439,7284400,2025-05-13 10:24:18.121000+08:00
3376.848,13125700,2025-05-13 10:24:21.039000+08:00
3376.782,11910600,2025-05-13 10:24:24.051000+08:00
3377.415,8408100,2025-05-13 10:24:27.038000+08:00
3377.234,6773300,2025-05-13 10:24:30.062000+08:00
3377.201,7117900,2025-05-13 10:24:33.065000+08:00
3377.213,7807600,2025-05-13 10:24:36.038000+08:00
3377.242,8973900,2025-05-13 10:24:39.038000+08:00
3377.242,0,2025-05-13 10:24:41.092000+08:00
3377.316,9537800,2025-05-13 10:24:42.038000+08:00
3377.068,6310300,2025-05-13 10:24:45.038000+08:00
3377.455,5572800,2025-05-13 10:24:48.038000+08:00
3377.203,7514800,2025-05-13 10:24:51.038000+08:00
3377.088,8225000,2025-05-13 10:24:54.038000+08:00
3377.681,7471400,2025-05-13 10:24:57.038000+08:00
3377.303,7949200,2025-05-13 10:25:00.065000+08:00
3377.302,7710900,2025-05-13 10:25:03.038000+08:00
3377.106,11117000,2025-05-13 10:25:06.066000+08:00
3377.149,9465800,2025-05-13 10:25:09.038000+08:00
3377.149,0,2025-05-13 10:25:11.092000+08:00
3377.436,10804000,2025-05-13 10:25:12.038000+08:00
3377.44,9786300,2025-05-13 10:25:15.038000+08:00
3376.786,14552400,2025-05-13 10:25:18.039000+08:00
3376.809,9806400,2025-05-13 10:25:21.038000+08:00
3377.061,9213800,2025-05-13 10:25:24.038000+08:00
3377.193,9518300,2025-05-13 10:25:27.038000+08:00
3377.553,8481100,2025-05-13 10:25:30.057000+08:00
3377.691,7026500,2025-05-13 10:25:33.057000+08:00
3377.348,9240800,2025-05-13 10:25:36.063000+08:00
3376.967,8295900,2025-05-13 10:25:39.064000+08:00
3376.967,0,2025-05-13 10:25:41.091000+08:00
3377.344,11393300,2025-05-13 10:25:42.038000+08:00
3376.687,10968400,2025-05-13 10:25:45.038000+08:00
3376.823,9511600,2025-05-13 10:25:48.038000+08:00
3377.203,11542600,2025-05-13 10:25:51.088000+08:00
3376.885,6611500,2025-05-13 10:25:54.038000+08:00
3377.367,7360800,2025-05-13 10:25:57.038000+08:00
3377.038,7005600,2025-05-13 10:26:00.074000+08:00
3377.461,7347300,2025-05-13 10:26:03.038000+08:00
3377.541,10286900,2025-05-13 10:26:06.038000+08:00
3377.527,21329200,2025-05-13 10:26:09.038000+08:00
3377.527,0,2025-05-13 10:26:11.092000+08:00
3377.48,11671400,2025-05-13 10:26:12.038000+08:00
3377.535,11997200,2025-05-13 10:26:15.039000+08:00
3377.735,8536900,2025-05-13 10:26:18.038000+08:00
3377.393,8033800,2025-05-13 10:26:21.038000+08:00
3377.73,10224800,2025-05-13 10:26:24.038000+08:00
3377.912,8604000,2025-05-13 10:26:27.038000+08:00
3378.238,9601500,2025-05-13 10:26:30.068000+08:00
3377.49,9055800,2025-05-13 10:26:33.038000+08:00
3377.395,9135800,2025-05-13 10:26:36.077000+08:00
3377.333,10644300,2025-05-13 10:26:39.084000+08:00
3377.333,0,2025-05-13 10:26:41.092000+08:00
3377.299,15343900,2025-05-13 10:26:42.089000+08:00
3377.145,10607400,2025-05-13 10:26:45.038000+08:00
3376.96,13851300,2025-05-13 10:26:48.038000+08:00
3376.996,13993700,2025-05-13 10:26:51.038000+08:00
3377.102,11782000,2025-05-13 10:26:54.038000+08:00
3377.07,8124100,2025-05-13 10:26:57.038000+08:00
3376.7,9200600,2025-05-13 10:27:00.085000+08:00
3377.192,12164400,2025-05-13 10:27:03.038000+08:00
3377.029,11043600,2025-05-13 10:27:06.108000+08:00
3376.933,11637200,2025-05-13 10:27:09.136000+08:00
3376.933,0,2025-05-13 10:27:11.137000+08:00
3377.025,11912700,2025-05-13 10:27:12.038000+08:00
3376.667,14523100,2025-05-13 10:27:15.042000+08:00
3376.857,10373700,2025-05-13 10:27:18.038000+08:00
3376.557,11995600,2025-05-13 10:27:21.038000+08:00
3376.618,10486000,2025-05-13 10:27:24.038000+08:00
3376.393,12208600,2025-05-13 10:27:27.038000+08:00
3376.563,8874500,2025-05-13 10:27:30.074000+08:00
3376.242,7118400,2025-05-13 10:27:33.080000+08:00
3376.454,9582600,2025-05-13 10:27:36.038000+08:00
